,sigma_sq,alpha
588,3.556119079,14.21129499
589,3.123291913,16.64976693
590,3.952284405,10.3459886
591,2.881342107,11.53406857
592,4.158947677,12.98987474
593,3.326202646,11.10697374
594,2.89678622,12.33757174
595,3.232381252,9.733620137
596,2.682105735,10.80239825
597,2.429829478,11.31322485
598,3.426391838,8.426873421
599,3.629740861,12.85980245
600,2.496286766,18.0077702
601,3.218857831,12.62303294
602,3.722797443,13.28341236
603,2.491024661,11.68083418
604,3.270733214,13.54479687
605,3.908629657,16.1663224
606,5.69469188,13.33432131
607,3.411689492,20.47954738
608,2.555052373,13.40090718
609,2.859395642,8.540790244
610,3.472931922,11.66781689
611,3.095988041,11.49951323
612,4.101154985,17.86191419
613,2.625150045,10.0450026
614,3.283228615,12.51422284
615,3.959640466,11.92842356
616,2.110414564,13.51879356
617,3.375935032,14.86501848
618,2.59768147,11.89159211
619,2.821824789,13.01926854
620,3.319969783,11.03041205
621,3.25058139,8.97168835
622,2.472240862,11.71783273
623,2.57885233,9.77978557
624,4.027560309,12.19462664
625,2.916931109,11.33607852
626,2.816222073,11.61842304
627,3.039295076,10.89726694
628,3.577314388,12.90609291
629,2.869058532,11.20867371
630,3.141061805,13.29892885
631,3.731292328,12.49956902
632,2.869902895,10.75175796
633,3.105843731,14.37827815
634,2.987690591,10.28082295
635,4.729112116,12.23307534
636,3.905194648,12.14524919
637,4.283471405,10.01612518
638,2.364759055,16.04623112
639,2.968864798,16.78178375
640,3.066909094,12.29657564
641,2.493144042,14.22929669
642,3.149689248,12.39539235
643,2.656408674,13.21551213
644,2.487700703,12.68247061
645,3.281920547,15.25086579
646,2.711080069,12.27130399
647,3.988131724,12.03291649
648,2.224383788,10.62995512
649,3.085594093,13.54504783
650,2.977955643,9.935438043
651,4.047732328,11.04286782
652,3.089901415,12.01433554
653,2.900060449,10.00489722
654,3.128996776,11.38781854
655,3.416158431,12.32469344
656,3.077513895,11.40703627
657,3.290616702,12.54622007
658,2.048435372,14.95509679
659,3.408451225,15.00499858
660,3.885886063,9.667746543
661,3.555249608,12.72325234
662,3.283534128,11.9140876
663,2.615713182,10.53325025
664,2.602602184,15.20140513
665,2.45564444,14.90188363
666,3.692538891,10.82410704
667,2.662319034,13.9186448
668,2.82948436,10.04802669
669,2.879573963,13.89093578
670,3.212367156,14.96625653
671,2.879982465,13.40830622
672,2.722154153,11.11166042
673,2.338054163,11.44887483
674,3.146564906,19.98780747
675,3.171607765,9.65672494
676,3.600293381,11.0196179
677,2.323997986,10.19382721
678,3.080644674,13.85597197
679,2.896624471,11.73226148
680,3.372714355,10.683645
681,3.679893236,16.50206477
682,2.761864286,12.42888431
683,3.413207243,13.36808277
684,3.076718897,12.67542668
685,3.045165162,13.20049717
686,3.518375155,14.23587478
687,3.07328004,13.33337333
688,3.473291675,14.53675744
689,4.527187783,9.80755689
690,2.856178464,13.04004012
691,2.507857341,13.41635008
692,3.070889329,18.09997818
693,2.582730739,14.81684867
694,3.65849949,12.09686127
695,3.394117861,11.29317308
696,3.427493767,11.13317204
697,2.971678188,15.22315351
698,2.532040075,10.28750827
699,3.153669786,16.87321732
700,3.36200652,11.06676041
701,2.871912598,12.68798173
702,1.90984114,12.65741802
703,2.901602067,11.1204789
704,2.847287454,8.825589701
705,2.888490845,9.298942931
706,2.521300477,10.35245487
707,2.983743859,12.80887281
708,3.310503744,13.04756244
709,2.641638766,15.6393891
710,3.238429618,11.26103331
711,2.625541029,11.30420417
712,2.474095226,16.23349573
713,3.193211532,12.34152909
714,2.723223251,13.31443435
715,3.063298511,12.11206296
716,3.088892999,11.44674034
717,3.185337337,13.36787072
718,3.170476299,11.05206051
719,3.150870227,11.83612658
720,3.002120739,11.88960841
721,3.265227503,13.22461745
722,3.285338873,9.472758485
723,4.371840425,11.73254684
724,3.566569496,11.36918741
725,3.704517749,13.29745331
726,3.305648731,15.69254683
727,3.526971839,15.30177278
728,2.33917943,12.66916523
729,2.593582257,10.26976915
730,2.983206811,11.13107024
731,2.829364908,11.89228145
732,3.49765847,11.85757134
733,2.898810137,17.32000692
734,2.702877145,11.05603384
735,3.034181913,12.36931393
736,2.946325763,10.98739383
737,2.497811136,10.04997781
738,3.046788465,14.68327097
739,2.398878449,13.17557226
740,2.646425963,14.54998693
741,2.557675023,15.96001765
742,3.690633598,11.55622794
743,3.879451437,10.88709762
744,2.379466489,17.80873241
745,3.334417279,10.65965901
746,2.492007432,12.46924759
747,2.677794215,11.77516092
748,4.066682466,11.82520709
749,2.673552197,15.35999793
750,2.639943863,12.63424839
751,3.717188299,13.87423257
752,3.072274303,13.79364158
753,2.642037118,12.47848838
754,3.129743511,10.5959321
755,2.890207855,17.60929272
756,3.092796629,12.60769998
757,3.125333418,10.99097515
758,2.646150611,13.14983527
759,2.917896961,17.60047407
760,2.657495191,11.54175544
761,3.428971803,10.94754002
762,4.289090268,8.542177827
763,2.948986794,8.544867098
764,4.311313044,11.91204437
765,2.93467869,15.28629772
766,3.491735697,11.01641648
767,3.325778055,10.54429253
768,4.728978256,12.02273771
769,2.420546032,10.60777717
770,2.534684345,12.32790541
771,3.624347396,13.73286961
772,2.835624596,12.19326581
773,2.71994646,11.44068687
774,3.01184698,9.771827487
775,3.542860687,12.62208578
776,3.644780113,11.13292528
777,2.047330206,12.12703753
778,3.296764839,10.9064507
779,2.367755167,12.87903154
780,3.412281478,18.40639103
781,5.246737308,12.01454934
782,3.663284187,9.327141061
783,3.917350732,14.17287153
784,3.471552013,15.43291337
785,3.21244096,12.9553233
786,2.351111879,20.36544224
787,3.246317994,10.45770642
788,3.896036881,11.29303338
789,3.478360625,10.24695749
790,2.880777496,13.28253976
791,2.614635339,12.93769683
792,4.061558372,10.75371923
793,2.487467119,11.99413889
794,3.194975604,12.69820318
795,2.322767923,13.75706817
796,2.995233079,9.804682832
797,2.967876829,10.48396981
798,3.14775703,10.61309954
799,3.197695787,7.616732364
800,2.592939355,10.40241706
801,2.714846632,20.02938382
802,3.029712257,10.82665209
803,3.561430732,10.45500509
804,3.100139802,11.63589839
805,2.850409981,15.10627422
806,3.054147283,15.64476942
807,3.203478618,11.75413556
808,3.593208694,12.27264496
809,3.301400797,16.23045365
810,3.457322326,9.107301374
811,2.910735365,15.13877455
812,2.741038657,15.8661404
813,2.889404942,21.49937008
814,2.68502262,12.40628701
815,2.138912001,15.22424024
816,4.215221913,13.6675452
817,2.720820689,14.71055502
818,3.554125565,10.96838171
819,2.46940972,12.07977332
820,3.075071205,12.49430338
821,3.103815075,9.338124698
822,4.154615353,9.617195478
823,3.157245299,21.266523
824,2.803769614,15.92856955
825,3.204815249,11.63743291
826,2.657785941,11.12211904
827,2.646133396,11.01863332
828,6.341690297,11.17468422
829,2.804148974,18.46629575
830,4.046239822,12.52133758
831,3.440544159,18.37465822
832,3.185168719,13.5548356
833,3.132161905,15.38775545
